# SECTION HEADS — hand-checked calls for census.mjs. Key = the head row's selector (or file:selector).
# Columns (TAB-separated): key  verdict  look  slice  reason
# verdict: band | label | rule | note (a second line: the ADR-0084 ledger renames it __note) | title-keep (a PAGE or MODAL title, not a section head) | bespoke | hold | lab | notice
# slice: H1 band · H2 label (+rule) · H3 notes (the ledger's __kicker/__eyebrow renames) · - none
.wordmarklab__eyebrow, .wordmarklab__contextlabel, .wordmarklab__selection > span	lab	kicker	-	wordmark lab lines; the ledger renames .wordmarklab__eyebrow → __note (five different lines on one page)
.topbar__title	title-keep	title	-	the app's page title in the top bar (35 files). A page title, not a section head
.wiredock__title, .wiredock__note	label	label	H2	the wire dock's caps title + note in one rule — a label head with its note slot
.derbycard__eyebrow	note	kicker	H3	ledger: → .gamecard__note ("All-Star Break"). Moves with .derbycard → .gamecard--derby; .gamecard stays bespoke, so a rename, not a SectionHead
.derbycard__title	title-keep	title	-	the derby card's name in --fs-h3 on a .gamecard (bespoke) — stays with the slate card
.sitemenusheet__eyebrow	note	kicker	H3	ledger: → .sitemenusheet__note ("Tally Baseball", the app's name)
.guidelink__eyebrow	note	kicker	H3	ledger: → .guidelink__note (renders a prop)
.teaminfo.is-themed > .teaminfo__head	bespoke	band	-	the TeamInfo club-name bar CHANGES SHAPE when themed (09-team-info.css:31) and carries Away/Home + the Game Notes button — a page masthead, not a section head. Its band recipe must still match H1's
.is-themed .metricbar	band	band	H1	themed pre-game masthead (SectionMasthead). check-seal-scope allowlist (09-team-info.css): the kraft fallback moves with the band; allowlist edited in the same PR
.is-themed .abs__title, .is-themed .halfdefense__title	band	band	H1	themed ABS + defence bands (box score + innings). Allowlisted. SEAL SCOPE
.lineupteam.is-themed .lineupteam__name	band	band	H1	a PER-TEAM band inside the entering-lineup card — two bands in one card, each its own club. Allowlisted. SectionHead must allow a band that is not the card's first row
.roster.is-themed .roster__toggle	band	band	H1	the roster drawer's band IS a <button> (it opens the drawer). Allowlisted. SectionHead needs as="button", or the toggle stays bespoke
.player.is-themed .section__title--bar	band	band	H1	the player page's bleed band (negative margins, square corners, outside any card). One of the six. "Corners follow the parent" covers it
.thub-card__head	label	label	H2	THE label head: display caps, --fs-label, hairline under, <em> note on the right. 15 modules. Becomes the band on a themed hub (next rows)
.team-hub.is-themed .thub-card__head, .team-hub.is-themed .tstats-card__head, .team-hub.is-themed .roster-super__head, .team-hub.is-themed .team-score__head	band	band	H1	four of the six band selectors in one rule. On the hub, head="band" is really "label, themed"
.section__title	label	label	H2	SectionTitle.jsx's class, 26 files. No hairline in its own rule; margin 18px 0 8px is off-scale. SectionHead replaces SectionTitle
.brewblurb__title	label	label	H2	a small title inside the What's Brewing modal blurb
.pregameboard__title	bespoke	title	-	the pre-game scoreboard's own title (PregameScoreboard.jsx) — part of a scoreboard graphic. SEAL SCOPE
.abs__title	band	band	H1	undressed navy+kraft band on the ABS block. Allowlisted (12-sealbox.css). SEAL SCOPE
.umpfavor__title	label	label	H2	caps label inside StatBox's umpire-favour panel. SEAL SCOPE
.upnext__title	label	label	H2	"Up next" caps label (UpNextBatters.jsx)
.statbox__title	band	band	H1	statbox band. Allowlisted. SEAL SCOPE
.dueup__title	band	band	H1	due-up band. Allowlisted
.lineupcard__title	band	band	H1	entering-lineup band. Allowlisted. Renames with .lineupcard → .entering (the allowlist names it)
.lineupteam__name	band	band	H1	per-team sub-band inside the lineup card (unthemed form). Allowlisted
.halfdefense__title	band	band	H1	defence band. Allowlisted
.roster__toggle	band	band	H1	roster drawer band-as-button (unthemed form). Allowlisted (13-play-by-play.css)
.szmodal__eyebrow	note	kicker	H3	ledger: → .szmodal__note ("Pitch zone")
