# Hand-checked calls for census.mjs, one row per census row, keyed by selector (or file:selector).
# Columns (TAB-separated): key  verdict  frame  head  body  slice  reason
# An empty frame/head/body keeps the machine value. frame is the TARGET frame (see spec.md: the frame follows the RADIUS).
# verdict: card | table | bespoke | hold | control | field | panel | well | media | notice | modal | lab | not-card | delete
# slice: C1 hub · C2 player · C3 pregame · C4 innings+HUD · C5 box score · C6a postseason+All-Star · C6b people+records+reference · C6c fouls+offseason+slate off-day · C7 account+logbook+chrome · C8 labs+admin (only if Gary says yes) · - none
# A key that matches no row prints STALE.
# LANDED in slice C0 (#1113): .thub-card is the Card component now (components/ui/frame/Card.jsx, styles/system/card.css), so its row left this file. Its sixteen modules render <Card>; the co-class .chalcard is <Card className="chal">.
.wordmarklab__colorlock	lab	sheet				C8	wordmark lab (/wordmark-lab), a dev page: the colour-lock panel
.wordmarklab__option	lab	sheet	none	padded	C8	wordmark lab option tile; an <article> with its own hover — a lab specimen
.wordmarklab__context	lab	sheet	none	flush	C8	wordmark lab context frame on page ground; holds a live mock of the slate
.wordmarklab__levels span, .wordmarklab__levels b	not-card					level chips in the wordmark lab — a static tag drawn as a small ruled box, no content inside
.wordmarklab__phonebody i	not-card					a grey skeleton bar inside the lab's phone mock (<i>, fixed width+height)
.wordmarklab__pagecontent > div	not-card					a placeholder block inside the lab's phone mock (fixed width+height, no content)
.datenav button	control					the slate's date arrows: <button> with its own font-size and min-height — Button family (#1130)
.datenav__today	control					"Today" jump on the slate date bar: a <button>, caps label, min-height — Button family
.daystate__chip--live	not-card					the slate LIVE chip: a --radius-sm tag with its own type. check-seal-scope allowlists its sibling .daystate__chip--live-on (03-slate-header.css) — leave both alone
.tally-cl-card	bespoke					Clerk's card: handed to Clerk's appearance API, every declaration !important; no Clerk key locally, so unverifiable (inventory bespoke #6)
.tally-cl-social	bespoke					Clerk's social-login button (lib/clerkAppearance.js socialButtonsBlockButton) — third-party DOM, same reason as .tally-cl-card
.sitebar__box	delete					DEAD: no file under src/ outside styles names sitebar__box
.masthead__logobox	media					the club-mark box in the game masthead (TeamTreatmentMark): a 2px-padded frame for a logo
.gamecard	bespoke					the slate card: darker border by design, park art, @ watermark; the front door (inventory bespoke #4, critique finding 9)
.gamecardstack__sheet	bespoke					the paper sheets fanned behind a slate card — part of .gamecard's own art, absolutely positioned
.gamecard__box	control					the slate card's "Box score" <button>, caps type; a control on .gamecard, which stays bespoke
.gamecard__logobox	media					slate card club-mark box, with backface-visibility for the flip; part of .gamecard
.offdaycard	card	sheet	none	padded	C6c	slate off-day tile (GameSelect + offseason WinterRail) — a whole-card <button>: Card as="button"; its --offday-accent hover tint must ride through as the accent (ADR-0050). GameSelect.jsx is a stamp FORBIDDEN_SURFACE: Card imports nothing stamp-related
.offdaycard__logobox	media					off-day tile's club-mark box; stays a namespace rule on the tile
.searchbox__input	field					team search <input> (TeamSearchBox + two identity-lab consumers) — a form field, not a card
.searchbox__results	bespoke					the team-search results listbox: absolutely positioned popover under the input, z-index — a popover, not a card
.gamefinder__season select	field					a <select> in the game finder
.gamefinder__result	control					a game-finder result row <button> with its own font-size and min-height
.favteamsheet	modal					the favourite-team bottom sheet (FavoriteTeamModal): a sheet with safe-area padding and an entry animation — sheets stay bespoke (ADR-0037, critique "modals are correctly bespoke")
.dirglyph	media					the site-menu directory glyph box (a small square with a left rule), an icon frame
.sitemenusheet__group	card	sheet	none	padded	C7	a grouped block of links inside the site menu sheet. A card inside a modal; low traffic, lands last in C7
